osm_id,name,operator,geojson
3554145894,,,"{""type"":""Point"",""coordinates"":[120.184149645862,30.1898866651861]}"
4327828309,,,"{""type"":""Point"",""coordinates"":[120.183654314815,30.1901227897379]}"
4327828310,红新园,,"{""type"":""Point"",""coordinates"":[120.185871536599,30.1887707923727]}"
3554145895,红新园,,"{""type"":""Point"",""coordinates"":[120.185675254709,30.1890208185542]}"
3554145896,羊前圩,,"{""type"":""Point"",""coordinates"":[120.190379192863,30.1891973118088]}"
3621293318,羊前圩,,"{""type"":""Point"",""coordinates"":[120.193015838054,30.1889923994612]}"
4820437543,长河路滨安路口,,"{""type"":""Point"",""coordinates"":[120.191725947137,30.1899519663766]}"
5081858287,,,"{""type"":""Point"",""coordinates"":[120.197259389624,30.1893269056426]}"
5081858288,,,"{""type"":""Point"",""coordinates"":[120.199828930663,30.1890486164569]}"
5081858289,,,"{""type"":""Point"",""coordinates"":[120.203728876637,30.1891136076122]}"
770741677,,,"{""type"":""Point"",""coordinates"":[120.148809293765,30.2072089860896]}"
770741681,,,"{""type"":""Point"",""coordinates"":[120.155011352318,30.2108824542913]}"
3776037818,,,"{""type"":""Point"",""coordinates"":[120.170718215397,30.1911940007521]}"
3776037817,,,"{""type"":""Point"",""coordinates"":[120.17061787358,30.1915767951356]}"
3953406146,,,"{""type"":""Point"",""coordinates"":[120.177596885022,30.1915392922222]}"
3953406147,,,"{""type"":""Point"",""coordinates"":[120.177587542544,30.1918137697364]}"
3554145900,,,"{""type"":""Point"",""coordinates"":[120.177084396153,30.1943324049094]}"
3776037816,,,"{""type"":""Point"",""coordinates"":[120.177691208127,30.1942158618031]}"
3554145902,,,"{""type"":""Point"",""coordinates"":[120.172891150238,30.1964834195939]}"
3554145903,,,"{""type"":""Point"",""coordinates"":[120.172864380443,30.1967846697038]}"
3953406144,,,"{""type"":""Point"",""coordinates"":[120.178001396395,30.1991289541396]}"
3953406145,,,"{""type"":""Point"",""coordinates"":[120.17889800488,30.199213814419]}"
5081858283,,,"{""type"":""Point"",""coordinates"":[120.186260956275,30.1929730114495]}"
5081858282,,,"{""type"":""Point"",""coordinates"":[120.18627946157,30.1932713218112]}"
3554145897,,,"{""type"":""Point"",""coordinates"":[120.186976194904,30.1950576710674]}"
3953406143,,,"{""type"":""Point"",""coordinates"":[120.182022614933,30.200843692124]}"
3953406142,,,"{""type"":""Point"",""coordinates"":[120.18203069977,30.2013286207572]}"
3554145898,,,"{""type"":""Point"",""coordinates"":[120.187910891957,30.1985513122334]}"
3554145899,,,"{""type"":""Point"",""coordinates"":[120.187724311873,30.1991407553905]}"
3953406148,,,"{""type"":""Point"",""coordinates"":[120.182603106269,30.2032121801605]}"
4316712196,,,"{""type"":""Point"",""coordinates"":[120.184044992132,30.2050356139298]}"
3953406149,,,"{""type"":""Point"",""coordinates"":[120.186471251883,30.2042835593128]}"
3953406150,,,"{""type"":""Point"",""coordinates"":[120.18768128257,30.2044321540222]}"
4316712197,,,"{""type"":""Point"",""coordinates"":[120.187959939972,30.2041994021261]}"
2697099761,美政路,,"{""type"":""Point"",""coordinates"":[120.164978609553,30.2143711090226]}"
1253600986,复兴路北口,,"{""type"":""Point"",""coordinates"":[120.165090090479,30.2159954571197]}"
4427428682,,,"{""type"":""Point"",""coordinates"":[120.147845311633,30.2317166736737]}"
1253600987,,,"{""type"":""Point"",""coordinates"":[120.168126216477,30.2307454836341]}"
4820437542,长河路滨安路口,,"{""type"":""Point"",""coordinates"":[120.191316135705,30.1906550579022]}"
5081858284,,,"{""type"":""Point"",""coordinates"":[120.192063264526,30.1935454839209]}"
5081858286,,,"{""type"":""Point"",""coordinates"":[120.190465431131,30.1948061849916]}"
5081858285,,,"{""type"":""Point"",""coordinates"":[120.194364299127,30.1940689598362]}"
5094667996,,,"{""type"":""Point"",""coordinates"":[120.196623831561,30.1981433894153]}"
5094667995,,,"{""type"":""Point"",""coordinates"":[120.196927372295,30.1984985944767]}"
5094667982,,,"{""type"":""Point"",""coordinates"":[120.211507298851,30.1991288764998]}"
5094667983,,,"{""type"":""Point"",""coordinates"":[120.211839855169,30.1989805067045]}"
1800592562,,,"{""type"":""Point"",""coordinates"":[120.209554541087,30.2028521786205]}"
3787640591,泰安路丹枫路口,,"{""type"":""Point"",""coordinates"":[120.205749187711,30.2106861264537]}"
3787640592,泰安路丹枫路口,,"{""type"":""Point"",""coordinates"":[120.205094765027,30.2117847499492]}"
3787640596,地铁江陵路站,,"{""type"":""Point"",""coordinates"":[120.212207984773,30.2094437169306]}"
3787640590,滨江区政府,,"{""type"":""Point"",""coordinates"":[120.208302648907,30.211511259676]}"
3787640589,滨江区政府,,"{""type"":""Point"",""coordinates"":[120.208640595116,30.2114463609358]}"
3787640588,共联村,,"{""type"":""Point"",""coordinates"":[120.210196297526,30.2107184984491]}"
3787640593,共联村,,"{""type"":""Point"",""coordinates"":[120.210512774,30.2104543209184]}"
1800571165,,,"{""type"":""Point"",""coordinates"":[120.213722813836,30.1909456883057]}"
5094667994,,,"{""type"":""Point"",""coordinates"":[120.217633359931,30.197473892326]}"
