132512122,,,"{""type"":""LineString"",""coordinates"":[[121.341848258043,31.2273334052938],[121.341386613818,31.229180669713]]}"
1666058768,白蒲,,"{""type"":""Point"",""coordinates"":[120.720082657906,32.2468237021586]}"
387045220,,,"{""type"":""LineString"",""coordinates"":[[118.898368970978,32.1295902664111],[118.898521055755,32.1297344257568],[118.898720841075,32.129892202004],[118.899379396009,32.1303010952994],[118.90043617411,32.1309563857744],[118.901372308467,32.1315390228416],[118.902183577,32.1320386621623],[118.902954780672,32.1325293223521],[118.903763354259,32.1330289562489],[118.904597529832,32.1335400740251],[118.905685209978,32.1342180860873],[118.906098255345,32.1344724629243]]}"
516323387,杭州至柯桥城际铁路（在建）,,"{""type"":""LineString"",""coordinates"":[[120.374415607816,30.131757116039],[120.374835929538,30.1316200656825],[120.375701186819,30.1314092843489],[120.376014070033,30.1313525683216]]}"
98885375,,,"{""type"":""LineString"",""coordinates"":[[121.475957387483,31.356855887261],[121.475655733211,31.3566575124213],[121.475419476291,31.3565020187798],[121.475124110225,31.3563103938003],[121.474789667445,31.3560973658928],[121.474536162872,31.3559855970065],[121.473005343796,31.3554625751538]]}"
362226529,昆山南,,"{""type"":""Polygon"",""coordinates"":[[[120.944345990608,31.3554618080325],[120.944358567022,31.3554921093195],[120.944389289405,31.3555316160461],[120.944455674904,31.355588382964],[120.9445106518,31.3556275060902],[120.944602459622,31.35567092507],[120.944575240669,31.3556989249315],[120.944527090969,31.3557839217203],[120.944507238202,31.355842376146],[120.94449951269,31.3559267591111],[120.944509663653,31.3559823751148],[120.944553950596,31.3560326212693],[120.944626893797,31.3560779578528],[120.944735410284,31.3561151629853],[120.944850214977,31.3561282039561],[120.944844106433,31.3561690145119],[120.944843567444,31.3562261646026],[120.944843567444,31.3562823941209],[120.944854167564,31.356344990653],[120.944886506915,31.3564075871434],[120.946218618649,31.355844063806],[120.946246466423,31.3558314063549],[120.946251047831,31.3558430665524],[120.946264792055,31.3558620143701],[120.946277817627,31.3558717567688],[120.946302970455,31.355877663577],[120.946411486941,31.3558561075609],[120.946414451381,31.3558653129776],[120.946522967868,31.355830025542],[120.946527549276,31.3558391542494],[120.946637592898,31.3558117681245],[120.946642892958,31.355820283139],[120.946729939709,31.3557836915847],[120.946729131225,31.3557942011101],[120.946746738205,31.3557915929068],[120.946779616544,31.3557843819915],[120.946820040732,31.35577325877],[120.946893343259,31.3557497849326],[120.946952272742,31.3557289192944],[120.947007249637,31.3557093577545],[120.947069862213,31.3556832756949],[120.947124839108,31.3556604922428],[120.947187451683,31.3556324156578],[120.947237847171,31.355607023985],[120.94729893261,31.3555795610804],[120.947406011792,31.3555247886712],[120.947384542057,31.35551627363],[120.947490812755,31.3554738518363],[120.947473205775,31.3554641093964],[120.947579386642,31.3554170848493],[120.947564833934,31.3554066519938],[120.947670116486,31.3553501151029],[120.947650533212,31.3553387616933],[120.947757253068,31.3552803836668],[120.947675147051,31.3552481645039],[120.949080651145,31.3546532586918],[120.949052983034,31.3546135981705],[120.949016062276,31.3545745513353],[120.948990909448,31.3545484689609],[120.948931530807,31.3545088851083],[120.948896586343,31.3544880191948],[120.948848975633,31.3544795807726],[120.948904311854,31.3544284899455],[120.948932069797,31.3543727195967],[120.948961265043,31.3543194807458],[120.948972404153,31.3542769049861],[120.948974739773,31.3542340990676],[120.948960546391,31.3541673586183],[120.948930452829,31.3541257033483],[120.948886704875,31.3540876535828],[120.948838465344,31.354066250583],[120.948790135982,31.35404745583],[120.948748633816,31.3540362556897],[120.94868485343,31.3540235979952],[120.948602657582,31.3540137786917],[120.948603376234,31.353971969927],[120.948608855957,31.3539149718931],[120.948605711854,31.3538558258483],[120.948599782973,31.3537999017328],[120.948570767389,31.3537468926982],[120.948551902768,31.3537209635214],[120.947144691876,31.3542915571866],[120.947147207159,31.3542311072554],[120.946997368169,31.3542594911112],[120.947017580263,31.3542419238068],[120.946894241575,31.354276061142],[120.946906458662,31.354262099357],[120.946785365762,31.3543058258196],[120.946788060708,31.3542940887184],[120.946684215461,31.3543332123831],[120.946687539228,31.3543236999642],[120.946614236701,31.3543432617924],[120.946510391454,31.3543745607091],[120.946409600479,31.3544175967026],[120.946288866905,31.3544646217495],[120.946183494522,31.3545167865376],[120.946079559443,31.3545715595339],[120.946033745364,31.3545990227329],[120.946044435316,31.3546106830831],[120.945951280021,31.3546432860284],[120.945961969973,31.3546564039161],[120.945855070454,31.3547097960017],[120.945870251982,31.3547216097637],[120.945766406735,31.3547698620618],[120.945775569551,31.3547848210363],[120.94568088712,31.3548448103357],[120.945735864016,31.3548787173142],[120.944345990608,31.3554618080325]]]}"
385581405,,,"{""type"":""LineString"",""coordinates"":[[118.891151097501,32.1234803633265],[118.892564686432,32.1243764137115],[118.892832204724,32.1245459152059]]}"
93036097,,,"{""type"":""LineString"",""coordinates"":[[121.408167102545,31.0291023150542],[121.410942357784,31.0298350576172]]}"
4927734954,茶庵殿(建设中),南通城市轨道交通有限公司,"{""type"":""Point"",""coordinates"":[120.83141455416,32.0171982006028]}"
358982893,,,"{""type"":""LineString"",""coordinates"":[[121.591972470807,29.8493619069076],[121.591189139879,29.8495312143339],[121.590664074596,29.8497132993587]]}"
